"1","STELLAR MB 10S","SMB","5","5","1"
"2","RWS","RWS","5","5","1"
"3","RWP","RWP","5","5","1"
"4","RWMB","RWMB","5","5","1"
"5","CAVANDERS MAGNA","CVMFT","5","5","1"
"6","FS CRUSH MINIS 64FT","FS Crush Mini","5","5","1"
"7","FS Prince","FS Prince","5","5","1"
"8","FS CLOVE CRUSH","FS Clove Crush","5","5","1"
"9","FSP","FSP","5","5","1"
"11","PV Rs.10","PV Rs.10","5","5","2"
"12","R&W STRIKER 64FT","Striker","5","5","1"
"13","R&W Chill","Rw chill","5","5","1"
"14","RW PREMIUM FT 10S","RWFP","5","5","1"
"15","Stellar Edge","Stellar","5","5","1"
"16","FSS Valley","FSSV","5","5","1"
"17","CVFT 64 ","CVFT","5","5","1"
"18","FS CRUSH FT 10S","FS Crush","5","5","1"
"19","FS Famous","FS Famous","5","5","1"
"20","FSK  (ADV. TASTE) VALLEY SQ10","FSK Valley","5","5","1"
"21","FS CRUSH FT 10S","FS Crush 69","5","5","1"
"22","FS PREMIER 64 FT 10S","FSP 64","5","5","1"
"23","FSP","FSP 69","5","5","1"
"24","FS CRUSH FT 10S","FS Crush","5","5","1"
"25","R&W Original","RWO","5","5","1"
"26","FSS","FSS","5","5","1"
"27","CVGL SPECIAL 64 ","CVGL64 ","5","5","1"
"28","RW Myx","RW Myx","5","5","1"
"30","CVGL","CVGL","5","5","1"
"31","Marlboro","Marlboro","5","5","1"
"32","Crush FF","Crush FF","5","5","1"
"33","RW PREMIUM FT 10S","RW Flake","5","5","1"
"34","CVG64FT10","Cav Gold","5","5","1"
"35","RWMB White","RW Mint button- white","5","5","1"
"36","RW Myx button – white","RW Myx button – white","5","5","1"
"37","RW Mint button – brown","RW Mint button – brown","5","5","1"
"38","STELLAR CB 10S","Stellar Cool Blast","5","5","1"
"39","RW TANGY BUTTON 64FT","RWTB","5","5","1"
"40","RW Gram","RW Gram","5","5","1"
"41","FS Crush Mini POP","FS Crush Mini POP","5","5","1"
"42","FS Crush FF","FS Crush FF","5","5","1"
"43","RW PREMIUM FT 10S","RWFT","5","5","1"
"44","RW Tangy","RW Tangy","5","5","1"
"45","To be removed","RWOB","5","5","1"
"46","CVFT 64 ","CVFT","5","5","1"
"47","Select 64 mm","Select 64 mm","5","5","1"
"48","Cavander","Cavander","5","5","1"
"49","SELECT FT PREMIUM 64","Select Flake Premium","5","5","1"
"50","CVG64FT10","Cavander gold","5","5","1"
"51","RW Mint button ","RW Mint button ","5","5","1"
"52","R&W STRIKER 64FT","RW Striker","5","5","1"
"53","CAVANDERS MAGNA","Magna","5","5","1"
"54","Stellar slims","Stellar slims","5","5","1"
"55","CVGL SPECIAL 64 ","CVGL Special","5","5","1"
"56","CVGL","CVGL","5","5","1"
"57","ORIGINALS V","Original","5",NULL,"1"
"58","GFSS","GFSS","5",NULL,"1"
"59","FSS","FSS","5",NULL,"1"
"60","STELLAR MB 10S","Stellar Mint Blast","5","5","1"
"61","marlboro gold","marlboro gold","5","5","1"
"62","marlboro adv","marlboro adv","5","5","1"
"63","marlboro fuse","marlboro fuse","5","5","1"
"64","Focus","Focus","5",NULL,"1"
"65","FOUR SQUARE PRIME RED SE-64MM","FS Prime","5",NULL,"1"
"66","FSS Valley Mint","FSSV mint","5","5","1"
"67","MLB compact","MLB compact","5","5","1"
"69","CVG64FT10","CV Gold","5",NULL,"1"
"70","Cavanders Smooth","CV Smooth","5",NULL,"1"
"71","Crush Minis Pop","Crush Minis Pop","5",NULL,"1"
"72","FS CRUSH MINIS 64FT","Crush Minis","5",NULL,"1"
"73","STELLAR SUPER SLIMS SHIFT","Stellar shift","5","5","1"
"74","STELLAR SUPER SLIMS DEFINE ","Stellar define","5","5","1"
"75","Club One Mint ","Club One Mint ","5",NULL,"1"
"76","Club one FF","Club One FF","5",NULL,"1"
"77","MLB- ADV","MLB- ADV","5",NULL,"1"
"78","MLB-Gold","MLB-Gold","5",NULL,"1"
"79","MLB-Red","MLB-Red","5",NULL,"1"
"80","MLB-FB","MLB-FB","5",NULL,"1"
"81","MLB - Compact","MLB - Compact","5",NULL,"1"
"82","MLB-Beyond Compact","MLB-Beyond Compact","5",NULL,"1"
"85","FS Crush Paan","Crush Pan","5",NULL,"1"
"86","Marlboro Fine touch","Marlboro Fine touch","5",NULL,"1"
"87","FSP OB","FSP OB","5",NULL,"1"
"88","FSP FUSE","FSP FUSE","5",NULL,"1"
"89","Focus Mint","Focus Mint","5",NULL,"1"
"90","Focus Paan","Focus Paan","5",NULL,"1"
"91","Originals 64","Originals 64","5",NULL,"1"
"92","R&W Paan Button","RW Pan button ","5","5","1"
"93","FOUR SQUARE CRUSH (TANGY-V)","FS Crush Tangy V","5",,"1"
"94","FS CRUSH 10S VALLEY","FS CRUSH VALLEY","5",,"1"
"95","FS MAX V 69MM FT 10S","FS MAX V","5",,"1"
"96","FOCUS GOLD 64MM SQ","FOCUS GOLD 64MM","5",,"1"
"97","FULL FLAVOUR 10 S","FULL FLAVOUR 10 S","5",,"1"
"98","FULL FLAVOUR 20 S","FULL FLAVOUR 20 S","5",,"1"
"99","ADVANCE 10 S","ADVANCE 10 S","5",,"1"
"100","ADVANCE 20 S","ADVANCE 20 S","5",,"1"
"101","GOLD 10 S","GOLD 10 S","5",,"1"
"102","GOLD 20 S","GOLD 20 S","5",,"1"
"103","FUSE BEYOND 10 s","FUSE BEYOND 10 s","5",,"1"
"104","FUSE BEYOND 20 s","FUSE BEYOND 20 s","5",,"1"
"105","CLOVE MIX 10 s","CLOVE MIX 10 s","5",,"1"
"106","ADVANCE COMPACT FT","ADVANCE COMPACT FT","5",,"1"
"107","Funda C Orange Jar(660Gms)","Funda C Orange Jar(660Gms)","5",,"1"
"108","Funda C Orange Jar(315Gms)","Funda C Orange Jar(315Gms)","5",,"1"
"109","Funda C Orange Pouch (315Gms)","Funda C Orange Pouch (315Gms)","5",,"1"
"110","PV Naturals Imli (525 gm)","PV Naturals Imli (525 gm)","5",,"1"
"111","PV Naturals Imli Jar (770 gm)","PV Naturals Imli Jar (770 gm)","5",,"1"
"112","Guava-Apple (520 gms)","Guava-Apple (520 gms)","5",,"1"
"113","MIX (2080 gms)","MIX (2080 gms)","5",,"1"
"114","Orange (520 gms)","Orange (520 gms)","5",,"1"
"115","Orange (260 gms)","Orange (260 gms)","5",,"1"
"116","FSK","FSK","5",,"1"
"117","FS Crush Tropial Mix","FS Crush Tropial Mix","5",,"1"
"118","FS Max","FS Max","5",,"1"
"119","RW Twist","RW Twist","5",,"1"
"120","RW Lev","RW Lev","5",,"1"
"121","RW Delux","RW Delux","5",,"1"
"122","Stellar Paan","Stellar Paan","5",,"1"
"123","Marlboro Vista","Marlboro Vista","5",,"1"
"124","Marlboro FF","Marlboro FF","5",,"1"
"125","Focus Gold","Focus Gold","5",,"1"
"129","CAVANDERS GOLD SAUNF 10S SQ",,"5","5","1"
"130","CAVANDERS GOLD SMOOTH TASTE",,"5","5","1"
"131","FOUR SQUARE CRUSH SLM TECH 16S SE",,"5","5","1"
"132","FOUR SQUARE SLM TECH FILTER 16S SE",,"5","5","1"
"133","FS CRUSH (TANGY)  BE 10S",,"5","5","1"
"134","FS CRUSH PAAN MIX",,"5","5","1"
"135","FS CRUSH SAUNF MIX",,"5","5","1"
"136","FS FAMOUS 64FT",,"5","5","1"
"137","FS SPECIAL MINT",,"5","5","1"
"138","FSK RICH FT 10",,"5","5","1"
"139","STELLAR DEFINE ME-SS-97MM",,"5","5","1"
"140","STELLAR DEFINE PAAN-SS RC-97MM",,"5","5","1"
"141","STELLAR DEFINE SUPER SLIM 20S PACK",,"5","5","1"
"142","STELLAR ICY BLAST 10S",,"5","5","1"
"143","STELLAR SHIFT SUPER SLIM 20S PACK",,"5","5","1"
"144","FOCUS MINT UP SQ 10S",,"5","5","1"
"145","FOCUS PAN FT 10S",,"5","5","1"
"146","FOUR SQUARE PRIME GREEN SE-64MM",,"5","5","1"
"147","STELLAR FRESH MIX 10S",,"5","5","1"
